!!SBtab SBtabVersion="0.8" Document="CaCo_Metabolism" TableType="Compound" TableName="CaCo_Metabolism_Compound",,,,,,,,,
!Compound,!Name,!Location,!Charge,!IsConstant,!SBOTerm,!InitialConcentration,!Identifiers:kegg.compound,!Identifiers:obo.chebi,!Identifiers:hmdb
glc_ext,External glucose,extracellular,0,True,SBO:0000247,10.0,C00031,CHEBI:4167,HMDB00122
gln_ext,External glutamine,extracellular,0,True,SBO:0000247,4.0,C00064,CHEBI:18050,HMDB00641
glc,Glucose,cytosol,0,False,SBO:0000247,3.0,C00031,CHEBI:4167,HMDB00122
gln,Glutamine,cytosol,0,False,SBO:0000247,0.0,C00064,CHEBI:18050,HMDB00641
glc6p,Glucose 6-phosphate,cytosol,0,False,SBO:0000247,0.12,C00092,CHEBI:61548,HMDB01401
atp,Adenosine triphosphate,cytosol,0,False,SBO:0000247,2.8,C00002,CHEBI:30616,HMDB00538
adp,Adenosine diphosphate,cytosol,0,False,SBO:0000247,0.8,C00008,CHEBI:16761,HMDB01341
amp,Adenosine monophosphate,cytosol,0,False,SBO:0000247,0.16,C00020,CHEBI:16027,HMDB00045
phos,Phosphate,cytosol,0,False,SBO:0000247,5.0,C00009,CHEBI:43474,HMDB00973
h2o,Water,cytosol,0,False,SBO:0000247,1.0,C00001,CHEBI:15377,HMDB02111
fru6p,Fructose 6-phosphate,cytosol,0,False,SBO:0000247,0.05,C00085,CHEBI:57579,HMDB00124
pp,Diphosphate,cytosol,0,False,SBO:0000247,8.0,C00013,CHEBI:29888,HMDB00250
fru16bp,Fructose 16-bisphosphate,cytosol,0,False,SBO:0000247,0.02,C00354,CHEBI:16905,HMDB01058
grap,Glyceraldehyde 3-phosphate,cytosol,0,False,SBO:0000247,0.1,C00661,CHEBI:58027,HMDB01112
dhap,Dihydroxyacetone phosphate,cytosol,0,False,SBO:0000247,0.03,C00111,CHEBI:57642,HMDB01473
nad,Nicotinamide adenine dinucleotide,cytosol,0,False,SBO:0000247,1.22,C00003,CHEBI:57540,HMDB00902
nadh,Reduced nicotinamide adenine dinucleotide,cytosol,0,False,SBO:0000247,0.00056,C00004,CHEBI:57945,HMDB01487
h,Hydrogen,cytosol,0,False,SBO:0000247,0.0,C00080,CHEBI:49637,
bpg13,13-bisphospho-D-glycerate,cytosol,0,False,SBO:0000247,0.3,C00236,CHEBI:57604,HMDB01270
pg3,3-phospho-D-glycerate,cytosol,0,False,SBO:0000247,0.27,C00197,CHEBI:58272,HMDB00807
pg2,2-phospho-D-glycerate,cytosol,0,False,SBO:0000247,0.03,C00631,CHEBI:58289,HMDB03391
php,3-phosphohydroxypyruvate,cytosol,0,False,SBO:0000247,0.0003,C03232,CHEBI:18110,HMDB01024
glu,Glutamate,cytosol,0,False,SBO:0000247,20.0,C00025,CHEBI:29985,HMDB00148
pSer,3-phospho-serine,cytosol,0,False,SBO:0000247,0.0002,C01005,CHEBI:15811,HMDB01721
akg,Alpha-ketoglutarate,cytosol,0,False,SBO:0000247,0.32,C00026,CHEBI:16810,HMDB00208
ser,Serine,cytosol,0,False,SBO:0000247,0.14,C00065,CHEBI:17115,HMDB00187
pep,Phosphoenolpyruvate,cytosol,0,False,SBO:0000247,0.15,C00074,CHEBI:18021,HMDB00263
pyr,Pyruvate,cytosol,0,False,SBO:0000247,0.1,C00022,CHEBI:15361,HMDB00243
ala,Alanine,cytosol,0,False,SBO:0000247,0.08,C00041,CHEBI:16977,HMDB00161
lac,Lactate,cytosol,0,False,SBO:0000247,0.5,C00186,CHEBI:16651,HMDB00190
coa,Coenzyme A,cytosol,0,False,SBO:0000247,55.0,C00010,CHEBI:57287,HMDB01423
acoa,Acetyl Coenzyme A,cytosol,0,False,SBO:0000247,0.04,C00024,CHEBI:57288,HMDB01206
co2,Carbon dioxide,cytosol,0,False,SBO:0000247,5.0,C00011,CHEBI:16526,HMDB01967
oaa,Oxaloacetate,cytosol,0,False,SBO:0000247,0.01,C00036,CHEBI:16452,HMDB00223
cit,Citrate,cytosol,0,False,SBO:0000247,0.32,C00158,CHEBI:16947,HMDB00094
isocit,Isocitrate,cytosol,0,False,SBO:0000247,0.11,C00311,CHEBI:16087,HMDB00193
succCoa,Succinyl Coenzyme A,cytosol,0,False,SBO:0000247,0.03,C00091,CHEBI:57292,HMDB01022
succ,Succinate,cytosol,0,False,SBO:0000247,0.02,C00042,CHEBI:30031,HMDB00254
fad,Flavin adenine dinucleotide,cytosol,0,False,SBO:0000247,0.06,C00016,CHEBI:16238,HMDB01248
fadh2,Flavin adenine dinucleotide reduced,cytosol,0,False,SBO:0000247,0.00004,C01352,CHEBI:58307,HMDB01197
fum,Fumarate,cytosol,0,False,SBO:0000247,0.01,C00122,CHEBI:29806,HMDB00134
mal,Malate,cytosol,0,False,SBO:0000247,0.03,C00149,CHEBI:15589,HMDB00156
nh3,Ammonia,cytosol,0,False,SBO:0000247,1.0,C00014,CHEBI:16134,
